seed,gain,coh,n,p_net,p_mod
53,1.0,-0.03,187,0.15508021390374332,0.1486124623107861
53,1.0,0.0,180,0.39444444444444443,0.3776956354063633
53,1.0,0.03,186,0.6075268817204301,0.6202439656210161
53,1.0,0.06,177,0.8418079096045198,0.8497362373533941
53,1.0,0.09,163,0.950920245398773,0.9574398455029092
53,1.0,0.12,191,0.9947643979057592,0.9939427449869663
53,1.0,0.15,196,1.0,0.9998325552253585
53,1.2,-0.15,214,0.0,0.00044922279918782707
53,1.2,-0.12,168,0.0,0.00517356678133894
53,1.2,-0.09,155,0.012903225806451613,0.01862549448792304
53,1.2,-0.06,183,0.07650273224043716,0.0564931808265619
53,1.2,-0.03,187,0.21390374331550802,0.18555481485751754
53,1.2,0.0,180,0.36666666666666664,0.40658989439079646
53,1.2,0.03,186,0.6182795698924731,0.6346528823499563
53,1.2,0.06,177,0.8361581920903954,0.8445412224740428
53,1.2,0.09,163,0.9570552147239264,0.9509263729189584
53,1.2,0.12,191,0.9895287958115183,0.9908993933463158
53,1.2,0.15,196,1.0,0.9981381228632562
54,0.8,-0.15,214,0.004672897196261682,0.0010057273567869872
54,0.8,-0.12,168,0.02976190476190476,0.02386896240745498
54,0.8,-0.09,155,0.04516129032258064,0.03852224857152501
54,0.8,-0.06,183,0.12568306010928962,0.10672305221869252
54,0.8,-0.03,187,0.19786096256684493,0.21025533331005236
54,0.8,0.0,180,0.3888888888888889,0.38292974415302644
54,0.8,0.03,186,0.5376344086021505,0.567056745792701
54,0.8,0.06,177,0.7175141242937854,0.7416608622371389
54,0.8,0.09,163,0.8588957055214724,0.8707135023540225
54,0.8,0.12,191,0.9738219895287958,0.9578459090675708
54,0.8,0.15,196,0.9948979591836735,0.9883005284643932
54,1.0,-0.15,214,0.0,0.00022824758202690345
54,1.0,-0.12,168,0.005952380952380952,0.004534057775251173
54,1.0,-0.09,155,0.0064516129032258064,0.01300967971836504
54,1.0,-0.06,183,0.060109289617486336,0.05358670364691893
54,1.0,-0.03,187,0.18181818181818182,0.18556935110874445
54,1.0,0.0,180,0.4388888888888889,0.42847037534969007
54,1.0,0.03,186,0.6505376344086021,0.6704071536663323
54,1.0,0.06,177,0.8757062146892656,0.875551558908311
54,1.0,0.09,163,0.9693251533742331,0.9674608210279517
54,1.0,0.12,191,1.0,0.9958989608155602
54,1.0,0.15,196,1.0,0.9998710840954202
54,1.2,-0.15,214,0.0,0.0009008257235712934
54,1.2,-0.12,168,0.005952380952380952,0.007860525169606872
54,1.2,-0.09,155,0.03870967741935484,0.02672030398506376
54,1.2,-0.06,183,0.0546448087431694,0.07486596388766302
54,1.2,-0.03,187,0.20855614973262032,0.22343665367559573
54,1.2,0.0,180,0.5,0.45349556195252994
54,1.2,0.03,186,0.6505376344086021,0.6746210946776799
54,1.2,0.06,177,0.8700564971751412,0.8655269755577095
54,1.2,0.09,163,0.9631901840490797,0.959048520452223
54,1.2,0.12,191,1.0,0.9924737143685047
54,1.2,0.15,196,0.9948979591836735,0.9984312944036261
55,0.8,-0.15,214,0.0,0.000922459561224258
