bound,gain,quantile,acoh,correct,n_obs,rt_obs,p_obs,rt_pred,p_pred,n_datasets
2.94,0.8,0.25,0.0,True,260,237.0,0.5128205128205128,212.35281250000003,0.4903174443179553,80
2.94,0.8,0.25,0.03,False,197,261.0,0.1655462184873949,201.96187500000002,0.25288343063889973,80
2.94,0.8,0.25,0.03,True,993,242.0,0.8344537815126051,208.43625000000003,0.7471165693611003,80
2.94,0.8,0.25,0.06,False,86,191.75,0.0484234234234234,178.106875,0.10566196420644407,80
2.94,0.8,0.25,0.06,True,1690,241.25,0.9515765765765766,197.21812500000001,0.894338035793556,80
2.94,0.8,0.25,0.09,False,27,147.0,0.0102234002271866,156.69531250000003,0.04087823204763883,80
2.94,0.8,0.25,0.09,True,2614,222.0,0.9897765997728132,180.573125,0.9591217679523611,80
2.94,0.8,0.25,0.12,False,7,146.5,0.0021868166198063,138.980625,0.015613387218187221,80
2.94,0.8,0.25,0.12,True,3194,198.0,0.9978131833801936,162.7053125,0.9843866127818128,80
2.94,0.8,0.25,0.15,False,3,177.5,0.000764331210191,124.1609375,0.006023754934862432,80
2.94,0.8,0.25,0.15,True,3922,174.0,0.999235668789809,145.25656250000003,0.9939762450651376,80
2.94,0.8,0.5,0.0,False,247,361.0,0.4871794871794871,347.8950000000001,0.5096825556820447,80
2.94,0.8,0.5,0.0,True,260,385.5,0.5128205128205128,350.65375000000006,0.4903174443179553,80
2.94,0.8,0.5,0.03,False,197,387.0,0.1655462184873949,338.59749999999997,0.25288343063889973,80
2.94,0.8,0.5,0.03,True,993,375.0,0.8344537815126051,347.34625,0.7471165693611003,80
2.94,0.8,0.5,0.06,False,86,326.5,0.0484234234234234,303.505,0.10566196420644407,80
2.94,0.8,0.5,0.06,True,1690,381.0,0.9515765765765766,324.405625,0.894338035793556,80
2.94,0.8,0.5,0.09,False,27,246.0,0.0102234002271866,263.124375,0.04087823204763883,80
2.94,0.8,0.5,0.09,True,2614,344.0,0.9897765997728132,293.370625,0.9591217679523611,80
2.94,0.8,0.5,0.12,False,7,263.0,0.0021868166198063,221.59187500000002,0.015613387218187221,80
2.94,0.8,0.5,0.12,True,3194,309.5,0.9978131833801936,256.01937499999997,0.9843866127818128,80
2.94,0.8,0.5,0.15,False,3,265.0,0.000764331210191,186.1875,0.006023754934862432,80
2.94,0.8,0.5,0.15,True,3922,273.0,0.999235668789809,219.59250000000003,0.9939762450651376,80
2.94,0.8,0.75,0.0,False,247,560.5,0.4871794871794871,519.0875,0.5096825556820447,80
2.94,0.8,0.75,0.0,True,260,565.5,0.5128205128205128,524.931875,0.4903174443179553,80
2.94,0.8,0.75,0.03,False,197,542.0,0.1655462184873949,515.4593750000001,0.25288343063889973,80
2.94,0.8,0.75,0.03,True,993,532.0,0.8344537815126051,520.5046875,0.7471165693611003,80
2.94,0.8,0.75,0.06,False,86,529.0,0.0484234234234234,474.13125,0.10566196420644407,80
2.94,0.8,0.75,0.06,True,1690,551.0,0.9515765765765766,493.46343750000005,0.894338035793556,80
2.94,0.8,0.75,0.09,False,27,437.5,0.0102234002271866,429.13187500000004,0.04087823204763883,80
2.94,0.8,0.75,0.09,True,2614,502.0,0.9897765997728132,452.9690625,0.9591217679523611,80
2.94,0.8,0.75,0.12,False,7,444.5,0.0021868166198063,365.05437500000005,0.015613387218187221,80
2.94,0.8,0.75,0.12,True,3194,478.0,0.9978131833801936,397.24156250000004,0.9843866127818128,80
2.94,0.8,0.75,0.15,False,3,372.5,0.000764331210191,283.5746875,0.006023754934862432,80
2.94,0.8,0.75,0.15,True,3922,421.75,0.999235668789809,337.0828125,0.9939762450651376,80
